SnapshotDate,PlayerID,GameTitle,Platform,Region,Country,Age,Gender,PlayerSegment,AcquisitionChannel,Campaign,DeviceModel,OSVersion,AppVersion,SessionsLast7d,PlaytimeLast7d_Minutes,AvgSession_Minutes,Retention7dPercent,SpentLast7d_USD,PurchasesLast7d,InGameCurrencyBalance,AdImpressionsLast7d,AdClicksLast7d,PurchaseRatePercent,CrashCountLast7d,AvgPingMs,AvgFPS,BugsReportedLast7d,ChurnProbabilityPercent,NPS,FeedbackCategory,FeedbackShort,CommunityMentionsLast7d,SentimentScore
2025-10-14,P00012,RuneHollow,Xbox Series X,LATAM,Brazil,16,Prefer not to say,Core,Influencer,,XboxX,Xbox OS,1.0.0,5,589,117.8,31,0.00,0,1896,37,1,0,0,205,32,2,45,64,positive,Game runs smooth,1,0.60
2025-10-14,P00013,RuneHollow,PS5,MEA,South Africa,28,Female,Hardcore,Referral,,Switch OLED,Windows 11,1.3.5,33,2115,64.1,78,0.00,0,963,28,1,0,1,174,33,0,32,-27,negative,Frequent crashes,1,-0.36
2025-10-14,P00014,Aetherbound,PS5,LATAM,Brazil,35,Female,Core,Email,,Samsung S21,Windows 10,1.3.5,17,725,42.6,74,47.94,2,25943,40,0,11.76,0,220,69,2,4,14,neutral,Needs more content,0,0.10
2025-10-14,P00015,Aetherbound,Android,EU,Poland,45,Non-binary,Core,UA - Ads,Campaign_6,Switch OLED,iOS 17,1.1.0,7,714,102,40,0.00,0,86,114,3,0,0,37,54,1,64,-16,neutral,Needs more content,0,-0.11
2025-10-14,P00016,Aetherbound,Xbox Series X,LATAM,Colombia,13,Non-binary,Core,Influencer,,Switch OLED,Windows 10,1.0.0,8,403,50.4,42,0.00,0,571,18,0,0,0,208,85,0,44,28,neutral,Okay performance,0,0.22
2025-10-14,P00017,RuneHollow,Android,EU,France,27,Female,Core,Partner,,PS5,Windows 10,1.1.0,19,1438,75.7,80,0.00,0,97,17,0,0,1,50,74,2,1,45,positive,Fantastic balancing,1,0.41
2025-10-14,P00018,MetroRaiders,iOS,MEA,Egypt,22,Non-binary,Core,Organic,,XboxX,Windows 10,1.0.0,7,611,87.3,39,0.00,0,785,138,2,0,0,58,43,0,58,-2,neutral,UI could be clearer,0,0.03
2025-10-14,P00019,RuneHollow,Android,LATAM,Argentina,36,Male,Hardcore,Email,,iPhone 14,Xbox OS,2.0.0,29,4189,144.4,68,0.00,0,1140,134,2,0,2,143,57,1,42,-19,neutral,Needs more content,0,-0.16
2025-10-14,P00020,Starwright,PC,EU,Germany,50,Non-binary,Core,Referral,,Pixel 6,macOS 12,1.2.0,20,613,30.6,80,0.00,0,1412,9,0,0,0,36,44,1,9,17,neutral,Waiting for new mode,0,0.21
2025-10-14,P00021,Neon Armada,iOS,NA,USA,53,Prefer not to say,Casual,Partner,,iPhone 14,PS5 OS,1.0.1,6,142,23.7,67,0.00,0,1224,91,1,0,0,108,64,1,41,-32,negative,Frequent crashes,1,-0.34
2025-10-14,P00022,Aetherbound,Switch,MEA,South Africa,20,Male,Core,Partner,,Samsung S21,Windows 10,1.3.5,12,1047,87.3,64,0.00,0,1865,18,0,0,0,34,82,1,15,60,positive,Loving latest patch,1,0.63
2025-10-14,P00023,RuneHollow,Switch,NA,Canada,43,Male,Core,Partner,,XboxX,macOS 12,1.1.0,18,705,39.2,73,66.34,2,32695,32,1,11.11,0,28,85,2,1,88,positive,Game runs smooth,3,0.93
2025-10-14,P00024,MetroRaiders,Xbox Series X,LATAM,Colombia,53,Female,Core,Organic,,Samsung S21,Android 13,1.2.0,13,1012,77.8,62,0.00,0,1144,10,0,0,1,133,69,2,58,-53,negative,Matchmaking broken,0,-0.54
2025-10-14,P00025,RuneHollow,Android,MEA,Israel,35,Prefer not to say,Core,Referral,,iPhone 14,Android 13,1.2.0,14,1467,104.8,63,0.00,0,799,173,3,0,1,30,79,0,54,-62,negative,Frequent crashes,1,-0.63
2025-10-14,P00026,RuneHollow,Xbox Series X,NA,USA,14,Female,Core,Influencer,,Pixel 6,PS5 OS,1.1.0,11,505,45.9,50,0.00,0,216,30,1,0,0,219,75,0,27,61,positive,Great new event,1,0.54
2025-10-14,P00027,MetroRaiders,PC,APAC,Australia,38,Non-binary,Hardcore,Email,,Ryzen 5 PC,macOS 12,1.1.0,26,4561,175.4,55,221.30,5,113022,7,0,19.23,3,219,79,3,2,89,positive,Game runs smooth,2,0.93
2025-10-14,P00028,MetroRaiders,PS5,NA,Mexico,37,Female,Casual,Referral,,Pixel 6,macOS 12,1.0.0,6,224,37.3,69,0.00,0,1418,16,0,0,0,164,69,1,28,-8,neutral,Okay performance,0,-0.09
2025-10-14,P00029,Neon Armada,PC,APAC,Australia,52,Female,Core,Organic,,Ryzen 5 PC,macOS 12,1.0.0,12,1287,107.3,54,29.16,1,9144,1,0,8.33,0,116,44,1,6,67,positive,Love the new skins,0,0.75
2025-10-14,P00030,MetroRaiders,Xbox Series X,APAC,Australia,23,Prefer not to say,Casual,Referral,,PS5,Windows 10,1.1.0,2,272,136,32,0.00,0,1970,8,0,0,0,70,72,2,51,51,positive,Fantastic balancing,1,0.59
2025-10-14,P00031,GlyphQuest,iOS,LATAM,Colombia,31,Non-binary,Casual,Referral,,Pixel 6,iOS 17,1.3.5,2,118,59,44,0.00,0,235,138,1,0,0,195,35,1,30,65,positive,Game runs smooth,1,0.73
2025-10-14,P00032,RuneHollow,iOS,LATAM,Argentina,32,Prefer not to say,Hardcore,Referral,,Intel i7 PC,Windows 11,1.3.5,16,4629,289.3,44,0.00,0,1859,44,1,0,1,89,32,0,70,-31,negative,Paywall is harsh,1,-0.38
2025-10-14,P00033,RuneHollow,Xbox Series X,EU,France,33,Female,Casual,Partner,,Samsung S21,iOS 17,1.3.5,6,39,6.5,81,0.00,0,1679,9,0,0,0,218,75,2,31,-27,negative,Paywall is harsh,1,-0.30
2025-10-14,P00034,RuneHollow,iOS,NA,USA,37,Non-binary,Casual,Email,,XboxX,macOS 12,1.0.1,5,134,26.8,61,0.00,0,1368,184,1,0,0,207,65,0,61,-74,negative,Matchmaking broken,0,-0.79
2025-10-14,P00035,GlyphQuest,iOS,MEA,South Africa,14,Female,Core,Influencer,,Samsung S21,macOS 12,1.0.1,9,866,96.2,43,161.76,6,73412,141,1,66.67,1,140,33,2,56,-40,negative,Frequent crashes,1,-0.36
2025-10-14,P00036,Aetherbound,PS5,APAC,South Korea,43,Prefer not to say,Casual,UA - Ads,Campaign_1,Ryzen 5 PC,macOS 12,2.0.0,3,92,30.7,42,0.00,0,164,40,1,0,0,129,82,2,52,11,neutral,Okay performance,0,0.04
2025-10-14,P00037,Starwright,PS5,LATAM,Chile,49,Female,Hardcore,Partner,,Ryzen 5 PC,Android 13,1.3.5,19,3385,178.2,54,0.00,0,1639,31,0,0,1,108,49,1,15,86,positive,Great new event,0,0.80
2025-10-14,P00038,Neon Armada,Switch,EU,UK,14,Female,Hardcore,Partner,,XboxX,iOS 17,2.0.0,15,3574,238.3,40,28.26,3,15315,21,1,20,1,126,39,0,62,-33,negative,Frequent crashes,1,-0.39
2025-10-14,P00039,Neon Armada,PC,EU,France,39,Male,Casual,Organic,,iPhone 14,iOS 17,2.0.0,5,247,49.4,61,0.00,0,375,1,0,0,0,141,45,0,13,61,positive,Game runs smooth,0,0.57
2025-10-14,P00040,GlyphQuest,PC,EU,France,15,Female,Hardcore,Referral,,Switch OLED,macOS 12,1.2.0,23,3186,138.5,50,0.00,0,674,3,0,0,1,177,87,2,33,60,positive,Fantastic balancing,1,0.58
2025-10-14,P00041,GlyphQuest,PS5,LATAM,Brazil,50,Non-binary,Casual,UA - Ads,Campaign_6,Intel i7 PC,PS5 OS,1.0.0,6,180,30,73,0.00,0,217,14,0,0,0,173,56,0,4,49,positive,Game runs smooth,1,0.48
2025-10-14,P00042,RuneHollow,PC,EU,UK,32,Male,Casual,Organic,,iPhone 14,Windows 11,1.1.0,6,175,29.2,75,0.00,0,854,27,1,0,0,156,71,2,17,17,neutral,Average experience,0,0.11
2025-10-14,P00043,Starwright,Switch,EU,Spain,46,Non-binary,Core,Referral,,PS5,Windows 10,1.3.5,19,354,18.6,84,10.84,1,5749,3,0,5.26,0,155,75,0,20,-65,negative,Lag spikes,1,-0.72
2025-10-14,P00044,GlyphQuest,Switch,MEA,UAE,52,Male,Casual,UA - Ads,Campaign_2,Intel i7 PC,PS5 OS,2.0.0,2,213,106.5,37,0.00,0,421,18,0,0,0,50,83,1,77,-47,negative,Lag spikes,1,-0.50
2025-10-14,P00045,MetroRaiders,PC,APAC,Japan,13,Female,Casual,UA - Ads,Campaign_1,XboxX,Android 13,1.1.0,6,179,29.8,69,0.00,0,1433,36,1,0,0,123,35,1,2,91,positive,Great new event,3,0.98
2025-10-14,P00046,Aetherbound,Switch,NA,Mexico,26,Male,Core,Organic,,iPhone 14,Xbox OS,1.2.0,11,485,44.1,55,0.00,0,1055,13,0,0,0,141,77,0,30,41,positive,Game runs smooth,2,0.48
2025-10-14,P00047,MetroRaiders,iOS,EU,UK,54,Female,Hardcore,Influencer,,Ryzen 5 PC,Xbox OS,2.0.0,38,2851,75,80,77.36,4,9075,148,2,10.53,3,149,76,2,21,-26,negative,Toxic community,1,-0.32
2025-10-14,P00048,MetroRaiders,Switch,LATAM,Chile,32,Non-binary,Core,Organic,,Samsung S21,Android 13,1.0.1,8,1185,148.1,45,193.08,6,81922,36,1,75,0,137,65,2,38,10,neutral,Average experience,0,0.07
2025-10-14,P00049,Neon Armada,Android,NA,Mexico,55,Prefer not to say,Hardcore,Email,,iPhone 14,Android 13,1.2.0,33,3939,119.4,74,0.00,0,1297,42,0,0,4,194,48,3,28,-6,neutral,Average experience,0,-0.04
2025-10-14,P00050,RuneHollow,Xbox Series X,EU,UK,44,Female,Core,UA - Ads,Campaign_4,iPhone 14,macOS 12,1.0.1,9,1364,151.6,49,23.58,2,7449,7,0,22.22,1,147,60,2,32,-5,neutral,Waiting for new mode,0,0.04
2025-10-14,P00051,Starwright,Android,APAC,India,16,Female,Hardcore,Influencer,,Samsung S21,Windows 11,1.2.0,15,2660,177.3,39,0.00,0,483,33,1,0,2,209,55,2,27,92,positive,Game runs smooth,0,0.84
2025-10-14,P00052,GlyphQuest,Xbox Series X,EU,Germany,15,Prefer not to say,Hardcore,Referral,,Intel i7 PC,macOS 12,1.3.5,38,3602,94.8,86,16.82,2,4202,25,1,5.26,3,44,67,3,18,-46,negative,Frequent crashes,0,-0.54
2025-10-14,P00053,Aetherbound,Switch,EU,Poland,38,Prefer not to say,Hardcore,Organic,,Ryzen 5 PC,iOS 17,1.3.5,31,2763,89.1,72,0.00,0,793,40,0,0,2,81,56,3,25,20,neutral,Needs more content,0,0.17
2025-10-14,P00054,GlyphQuest,Xbox Series X,MEA,UAE,26,Prefer not to say,Casual,Organic,,Pixel 6,iOS 17,1.0.0,5,265,53,60,0.00,0,1051,9,0,0,0,117,61,0,33,-8,neutral,Okay performance,0,0.01
2025-10-14,P00055,GlyphQuest,iOS,LATAM,Brazil,16,Prefer not to say,Hardcore,Referral,,XboxX,Windows 11,1.1.0,28,2249,80.3,61,0.00,0,493,132,4,0,1,130,88,2,17,71,positive,Loving latest patch,2,0.64
2025-10-14,P00056,GlyphQuest,iOS,APAC,South Korea,39,Female,Hardcore,Email,,Ryzen 5 PC,PS5 OS,1.3.5,27,2208,81.8,70,141.00,5,16493,80,3,18.52,2,35,78,3,10,24,neutral,UI could be clearer,0,0.17
2025-10-14,P00057,Aetherbound,iOS,MEA,UAE,45,Non-binary,Core,Partner,,Switch OLED,Android 13,2.0.0,19,373,19.6,78,0.00,0,1552,120,1,0,0,131,32,2,45,-91,negative,Frequent crashes,2,-0.83
2025-10-14,P00058,GlyphQuest,Android,LATAM,Colombia,45,Male,Hardcore,Partner,,PS5,Xbox OS,1.1.0,26,2896,111.4,64,287.46,6,24098,75,2,23.08,3,34,79,3,18,2,neutral,Okay performance,0,0.02
2025-10-14,P00059,RuneHollow,PS5,MEA,Israel,46,Male,Casual,Email,,iPhone 14,Windows 11,1.1.0,6,157,26.2,72,0.00,0,1471,10,0,0,0,45,58,2,21,17,neutral,Okay performance,0,0.26
2025-10-14,P00060,Neon Armada,iOS,MEA,Israel,46,Prefer not to say,Hardcore,Influencer,,Intel i7 PC,macOS 12,1.0.0,23,2448,106.4,54,0.00,0,1436,18,0,0,2,102,52,2,57,-42,negative,Toxic community,1,-0.33
2025-10-14,P00061,Starwright,Android,NA,Canada,23,Male,Hardcore,Influencer,,Samsung S21,Android 13,1.2.0,34,4491,132.1,74,0.00,0,955,101,3,0,4,189,38,2,14,39,positive,Fantastic balancing,0,0.42
2025-10-14,P00062,RuneHollow,PC,EU,UK,45,Prefer not to say,Hardcore,Partner,,Switch OLED,Android 13,1.2.0,23,1520,66.1,52,0.00,0,102,1,0,0,0,78,71,1,69,-76,negative,Frequent crashes,2,-0.76
2025-10-14,P00063,Aetherbound,PS5,APAC,Australia,39,Male,Casual,UA - Ads,Campaign_4,XboxX,PS5 OS,1.1.0,2,293,146.5,35,0.00,0,1160,15,0,0,0,74,86,2,83,-58,negative,Matchmaking broken,2,-0.56
2025-10-14,P00064,RuneHollow,PS5,NA,Mexico,17,Male,Hardcore,Partner,,Intel i7 PC,Android 13,1.1.0,30,4065,135.5,63,0.00,0,1238,29,0,0,2,68,76,1,40,-12,neutral,Waiting for new mode,0,-0.03
2025-10-14,P00065,Neon Armada,Android,LATAM,Colombia,39,Female,Hardcore,Influencer,,Switch OLED,Xbox OS,1.2.0,34,2930,86.2,74,0.00,0,1116,125,2,0,2,205,65,3,18,26,neutral,Needs more content,1,0.22
2025-10-14,P00066,Neon Armada,PS5,EU,France,17,Male,Casual,Organic,,Ryzen 5 PC,macOS 12,1.0.0,3,319,106.3,50,0.00,0,137,7,0,0,0,148,62,0,78,-75,negative,Frequent crashes,1,-0.82
2025-10-14,P00067,Aetherbound,PS5,APAC,Japan,48,Male,Core,Partner,,Ryzen 5 PC,iOS 17,1.2.0,5,370,74,39,0.00,0,1551,3,0,0,0,64,78,1,30,100,positive,Fantastic balancing,1,0.91
2025-10-14,P00068,MetroRaiders,Switch,MEA,UAE,36,Male,Casual,Organic,,Intel i7 PC,Windows 11,1.1.0,4,88,22,57,0.00,0,891,30,0,0,0,108,53,2,48,-15,neutral,Average experience,0,-0.11
2025-10-14,P00069,GlyphQuest,Android,LATAM,Chile,29,Male,Hardcore,Referral,,Switch OLED,Xbox OS,2.0.0,24,1795,74.8,52,0.00,0,7,18,1,0,2,44,70,0,39,26,neutral,UI could be clearer,1,0.16
2025-10-14,P00070,Starwright,Xbox Series X,EU,Germany,51,Female,Casual,Influencer,,Intel i7 PC,Windows 10,1.0.1,2,300,150,37,0.00,0,744,34,1,0,0,51,50,1,86,-65,negative,Toxic community,1,-0.58
2025-10-14,P00071,GlyphQuest,Xbox Series X,LATAM,Chile,51,Non-binary,Hardcore,Influencer,,Switch OLED,Windows 10,1.0.0,33,4753,144,66,449.60,10,216437,24,1,30.3,2,174,61,1,1,56,positive,Great new event,1,0.65
2025-10-14,P00072,Starwright,PS5,EU,UK,25,Non-binary,Hardcore,UA - Ads,Campaign_5,iPhone 14,Windows 11,1.1.0,31,4680,151,69,115.04,4,40039,3,0,12.9,1,36,80,0,28,-48,negative,Lag spikes,2,-0.53
2025-10-14,P00073,RuneHollow,Xbox Series X,LATAM,Chile,27,Non-binary,Core,Email,,XboxX,Xbox OS,1.3.5,12,469,39.1,60,0.00,0,332,28,1,0,0,53,62,1,37,0,neutral,Okay performance,0,0.02
2025-10-14,P00074,Starwright,PS5,LATAM,Argentina,41,Male,Casual,Partner,,iPhone 14,Windows 10,1.1.0,6,107,17.8,72,0.00,0,1135,37,1,0,0,172,79,2,62,-87,negative,Matchmaking broken,1,-0.89
2025-10-14,P00075,RuneHollow,Switch,EU,France,49,Male,Casual,Influencer,,Intel i7 PC,Windows 11,1.3.5,3,145,48.3,53,0.00,0,1054,9,0,0,0,152,73,1,63,-71,negative,Matchmaking broken,1,-0.64
2025-10-14,P00076,Aetherbound,iOS,NA,Mexico,47,Male,Core,Influencer,,Switch OLED,macOS 12,1.1.0,15,857,57.1,65,0.00,0,759,53,0,0,1,152,37,2,23,25,neutral,Average experience,1,0.20
2025-10-14,P00077,Aetherbound,Android,NA,USA,27,Male,Core,Organic,,Ryzen 5 PC,macOS 12,2.0.0,11,1238,112.5,53,0.00,0,1201,46,1,0,1,30,56,1,61,-63,negative,Lag spikes,1,-0.59
2025-10-14,P00078,Aetherbound,Xbox Series X,LATAM,Brazil,37,Male,Hardcore,Partner,,XboxX,Windows 11,1.0.0,27,1808,67,59,134.10,5,58013,8,0,18.52,2,25,33,1,24,-12,neutral,Needs more content,0,-0.05
2025-10-14,P00079,Neon Armada,Android,NA,Canada,23,Non-binary,Casual,UA - Ads,Campaign_2,iPhone 14,macOS 12,1.2.0,7,226,32.3,77,0.00,0,761,171,5,0,0,202,37,1,30,-42,negative,Lag spikes,1,-0.40
2025-10-14,P00080,RuneHollow,Android,APAC,Australia,33,Non-binary,Hardcore,Organic,,iPhone 14,Windows 10,1.0.1,33,2272,68.8,65,0.00,0,1763,24,1,0,2,129,51,3,35,2,neutral,Okay performance,0,0.06
2025-10-14,P00081,RuneHollow,Xbox Series X,NA,Mexico,50,Non-binary,Hardcore,Email,,Switch OLED,PS5 OS,2.0.0,24,3427,142.8,60,0.00,0,1201,23,1,0,1,163,65,1,40,9,neutral,Waiting for new mode,0,-0.01
2025-10-14,P00082,MetroRaiders,Xbox Series X,LATAM,Brazil,32,Prefer not to say,Casual,Referral,,PS5,Windows 11,2.0.0,3,273,91,48,0.00,0,1556,36,1,0,0,180,61,1,47,12,neutral,Waiting for new mode,0,0.11
2025-10-14,P00083,Neon Armada,Android,NA,Canada,46,Female,Hardcore,Email,,iPhone 14,PS5 OS,1.0.1,17,3839,225.8,44,16.40,5,3006,122,1,29.41,4,54,86,0,57,-40,negative,Lag spikes,1,-0.49
2025-10-14,P00084,Neon Armada,PC,NA,USA,25,Non-binary,Casual,Influencer,,Ryzen 5 PC,PS5 OS,2.0.0,2,122,61,35,0.00,0,738,32,0,0,0,206,52,0,40,60,positive,Great new event,1,0.60
2025-10-14,P00085,Aetherbound,PS5,NA,Mexico,26,Female,Core,Organic,,Samsung S21,iOS 17,1.3.5,17,1168,68.7,75,0.00,0,720,0,0,0,0,74,65,2,9,47,positive,Love the new skins,1,0.49
2025-10-14,P00086,Aetherbound,Android,EU,Poland,48,Prefer not to say,Hardcore,Partner,,iPhone 14,macOS 12,1.1.0,35,3172,90.6,68,0.00,0,1132,71,2,0,2,109,61,3,31,-10,neutral,Okay performance,0,-0.19
2025-10-14,P00087,MetroRaiders,PC,MEA,Egypt,48,Male,Casual,Organic,,Pixel 6,Windows 11,1.0.0,4,133,33.3,57,0.00,0,1262,7,0,0,0,165,61,1,35,28,neutral,Okay performance,1,0.28
2025-10-14,P00088,MetroRaiders,PS5,APAC,India,37,Non-binary,Hardcore,Referral,,Samsung S21,Windows 10,2.0.0,35,3178,90.8,68,0.00,0,1154,26,0,0,1,159,39,1,25,15,neutral,Needs more content,1,0.20
2025-10-14,P00089,MetroRaiders,PS5,APAC,India,24,Female,Hardcore,Email,,Pixel 6,iOS 17,2.0.0,35,2403,68.7,73,294.24,16,91164,23,0,45.71,1,192,42,3,16,-21,neutral,Okay performance,1,-0.17
2025-10-14,P00090,RuneHollow,Switch,EU,Poland,35,Female,Core,Partner,,Pixel 6,Windows 11,1.3.5,7,1027,146.7,47,0.00,0,1235,8,0,0,1,219,48,0,56,6,neutral,Okay performance,0,-0.03
2025-10-14,P00091,GlyphQuest,iOS,MEA,South Africa,17,Prefer not to say,Casual,UA - Ads,Campaign_4,Intel i7 PC,Android 13,1.2.0,1,111,111,28,0.00,0,1757,89,1,0,0,111,83,1,81,-36,negative,Lag spikes,1,-0.37
2025-10-14,P00092,GlyphQuest,iOS,EU,France,15,Male,Casual,Organic,,iPhone 14,macOS 12,1.0.0,1,156,156,32,0.00,0,785,136,2,0,0,215,36,2,60,-2,neutral,Average experience,0,0.07
2025-10-14,P00093,Starwright,iOS,EU,UK,47,Prefer not to say,Core,Email,,PS5,PS5 OS,1.1.0,6,457,76.2,40,12.51,1,3363,4,0,16.67,0,124,47,1,17,100,positive,Loving latest patch,3,0.99
2025-10-14,P00094,MetroRaiders,Switch,MEA,UAE,43,Prefer not to say,Hardcore,Partner,,Ryzen 5 PC,Android 13,1.2.0,26,2443,94,54,0.00,0,1263,15,0,0,1,188,35,1,68,-48,negative,Lag spikes,2,-0.58
2025-10-14,P00095,GlyphQuest,PS5,APAC,South Korea,15,Non-binary,Casual,Referral,,Ryzen 5 PC,Xbox OS,2.0.0,6,235,39.2,67,0.00,0,264,2,0,0,0,156,52,0,51,-45,negative,Toxic community,1,-0.54
2025-10-14,P00096,Starwright,iOS,EU,France,44,Female,Casual,Organic,,Pixel 6,macOS 12,1.2.0,4,58,14.5,53,0.00,0,1793,24,0,0,0,201,56,1,54,-10,neutral,Okay performance,0,-0.17
2025-10-14,P00097,Neon Armada,iOS,NA,USA,15,Non-binary,Core,Partner,,iPhone 14,Xbox OS,1.0.1,6,1325,220.8,42,0.00,0,1616,125,1,0,1,219,79,2,56,-3,neutral,Waiting for new mode,0,-0.04
2025-10-14,P00098,MetroRaiders,Switch,EU,Poland,48,Male,Hardcore,UA - Ads,Campaign_1,PS5,Android 13,1.3.5,16,2578,161.1,53,0.00,0,498,22,0,0,1,123,58,3,52,-2,neutral,Average experience,0,-0.10
2025-10-14,P00099,Aetherbound,PS5,EU,Poland,25,Non-binary,Core,Email,,Samsung S21,Android 13,1.0.1,10,1208,120.8,54,0.00,0,1397,22,1,0,1,200,69,1,49,-14,neutral,Needs more content,0,-0.08
2025-10-14,P00100,Neon Armada,Switch,APAC,China,31,Male,Hardcore,Organic,,Samsung S21,macOS 12,1.2.0,25,4940,197.6,53,0.00,0,993,10,0,0,4,187,88,2,59,-45,negative,Toxic community,0,-0.38
2025-10-14,P00101,GlyphQuest,iOS,APAC,India,29,Non-binary,Casual,Partner,,Pixel 6,Windows 10,1.2.0,2,194,97,36,0.00,0,1520,38,1,0,0,51,85,0,77,-52,negative,Paywall is harsh,0,-0.42
2025-10-14,P00102,Aetherbound,Xbox Series X,APAC,India,14,Non-binary,Casual,Influencer,,Pixel 6,macOS 12,2.0.0,2,82,41,40,0.00,0,721,22,1,0,0,68,48,1,82,-61,negative,Matchmaking broken,2,-0.60
2025-10-14,P00103,Starwright,PC,NA,Mexico,21,Non-binary,Hardcore,Partner,,XboxX,Windows 11,1.2.0,19,5839,307.3,46,0.00,0,1125,2,0,0,2,88,53,3,79,-78,negative,Paywall is harsh,2,-0.75
2025-10-14,P00104,GlyphQuest,Xbox Series X,LATAM,Chile,49,Female,Casual,Email,,Intel i7 PC,Xbox OS,1.1.0,1,201,201,25,0.00,0,299,13,0,0,0,30,81,1,79,-6,neutral,Waiting for new mode,1,-0.11
2025-10-14,P00105,GlyphQuest,Switch,NA,Mexico,36,Male,Core,Influencer,,Samsung S21,PS5 OS,1.3.5,11,931,84.6,55,0.00,0,33,15,0,0,1,32,82,1,43,-4,neutral,Waiting for new mode,0,-0.09
2025-10-14,P00106,Starwright,PC,MEA,Egypt,23,Male,Casual,Organic,,XboxX,Windows 10,1.1.0,1,262,262,28,0.00,0,391,23,0,0,0,41,61,0,50,70,positive,Loving latest patch,1,0.64
2025-10-14,P00107,GlyphQuest,Android,NA,USA,22,Female,Hardcore,Referral,,iPhone 14,iOS 17,1.2.0,31,1953,63,62,13.20,3,6692,55,1,9.68,1,54,59,1,27,-38,negative,Paywall is harsh,0,-0.30
2025-10-14,P00108,RuneHollow,iOS,EU,UK,50,Male,Hardcore,Influencer,,iPhone 14,Xbox OS,1.0.1,30,4957,165.2,69,0.00,0,1387,41,0,0,2,142,51,3,26,15,neutral,Waiting for new mode,0,0.19
2025-10-14,P00109,Aetherbound,Xbox Series X,NA,Mexico,24,Prefer not to say,Casual,Email,,Pixel 6,PS5 OS,1.3.5,1,187,187,29,16.10,1,7817,16,0,100,0,122,89,1,24,78,positive,Love the new skins,1,0.82
2025-10-14,P00110,Aetherbound,PC,APAC,Japan,28,Male,Core,Partner,,Samsung S21,Xbox OS,1.2.0,17,326,19.2,70,0.00,0,1250,24,0,0,0,129,65,1,50,-51,negative,Toxic community,1,-0.54
